,Return,Volatility,BND,VCIT,VOO,VGIT
1668,0.03257793447920388,0.038831177813175174,0.15164978570981877,0.28514485729328165,0.017082064036124302,0.5461232929607753
2919,0.03290311928600198,0.039094812830261665,0.26466663934413215,0.21485139997349315,0.02444332413908165,0.4960386365432931
977,0.03520489675823087,0.03913567639585054,0.4377678166777121,0.05300897573266001,0.05838669580497937,0.4508365117846486
653,0.03557451570207701,0.03922074153166064,0.4538172925536878,0.034887211599879786,0.06330421651625585,0.44799127933017663
402,0.03732434099555311,0.03925770983126027,0.3176512895450677,0.15435273193171242,0.06922785875793007,0.4587681197652898
2053,0.03756260988821275,0.039273469698413305,0.4200193963463022,0.044523503898177816,0.08104141361082044,0.45441568614469957
2535,0.04300351457404312,0.03933628483037071,0.26802170113735324,0.046107216556857185,0.13478985600282517,0.5510812263029644
1321,0.03343114206710076,0.039351339997806656,0.4471031126544466,0.06140977574692896,0.04124314827001403,0.4502439633286103
1264,0.03115236164606473,0.039415186129269614,0.1930386780786335,0.26405593289802426,0.005471214028743343,0.537434174994599
1968,0.031429873954698664,0.03942983320132897,0.4536922134181309,0.05319370080295795,0.02420920963272473,0.4689048761461864
823,0.03517110048108305,0.03953127008065276,0.43259612897141314,0.07465712022423203,0.05562699068532987,0.4371197601190249
1739,0.04049177598443347,0.03953746711715396,0.06739457968023581,0.3187258382354234,0.08643428267199436,0.5274452994123464
2117,0.03563946718812814,0.03959178460382825,0.33801473133797955,0.1655514106253891,0.052129577674983926,0.4443042803616473
1134,0.03989136736908959,0.039680944599155075,0.15218817660613326,0.27046372894815396,0.08390004440074443,0.49344805004496833
2977,0.03526752762451907,0.03973339499016823,0.34036841197747786,0.17093596980190873,0.04807708244189867,0.4406185357787146
17,0.03356914009808895,0.03973349257845676,0.2599403530944576,0.2413548325354373,0.02729722544417139,0.47140758892593365
496,0.04545503636451593,0.03978912369007343,0.052963840392367977,0.17779163949718302,0.1483418720145787,0.6209026480958703
2147,0.03266391587962856,0.039793047879490194,0.45441525861952653,0.071387377039481,0.032932170514784004,0.44126519382620844
996,0.0362101932353894,0.03981299297994899,0.2693357966386311,0.22838899292576786,0.052028102608783246,0.45024710782681787
1726,0.0436395544022808,0.03983385705429094,0.18824198962984004,0.13179192405642412,0.13288007871889954,0.5470860075948363
937,0.04013345915555293,0.039854676635278426,0.3346627378903634,0.1022673109076193,0.09996043279328454,0.46310951840873277
