,Return,Volatility,AAPL,VTI
2946,0.14397927783983164,0.21474466837906717,0.05431660555383095,0.945683394446169
75,0.1440158727533429,0.21475329945713828,0.054487992867559724,0.9455120071324403
812,0.14402077753528972,0.21475445672254237,0.05451096374852769,0.9454890362514723
2575,0.14413201178472548,0.21478073059997665,0.05503191426804667,0.9449680857319533
298,0.14442154651276554,0.21484937604137141,0.05638791089459277,0.9436120891054073
92,0.14468170907978908,0.21491137348642655,0.05760634698903154,0.9423936530109684
406,0.14469125711650838,0.2149136544928355,0.057651063923919284,0.9423489360760807
1406,0.14473696988375562,0.21492458075236567,0.057865153468883254,0.9421348465311168
2208,0.1447984772573867,0.21493929678412976,0.058153214910479666,0.9418467850895204
1761,0.14512862889595463,0.2150185727699258,0.059699435328242,0.940300564671758
294,0.14514787273967011,0.2150232084179796,0.059789561260065786,0.9402104387399343
2590,0.14526732819901256,0.21505202052897912,0.06034901470106534,0.9396509852989346
2509,0.14526926209807275,0.21505248749359873,0.0603580718550015,0.9396419281449985
869,0.145350504165179,0.21507211930644535,0.06073855805669271,0.9392614419433073
2012,0.14576733723102478,0.21517330217920316,0.06269073918172027,0.9373092608182797
1164,0.14582734130798383,0.21518793060948527,0.0629717601372592,0.9370282398627406
1623,0.14584665269181882,0.21519264191003243,0.06306220238407165,0.9369377976159283
532,0.1461389987763746,0.21526416427900727,0.0644313656175292,0.9355686343824708
382,0.1462015955348398,0.21527952734770292,0.06472452904523314,0.9352754709547668
1331,0.14631414097310314,0.2153071925430462,0.06525162033977773,0.9347483796602223
79,0.146492573637936,0.21535116762656326,0.0660872855230767,0.9339127144769233
142,0.1465268762814634,0.21535963758571242,0.06624793730125765,0.9337520626987423
816,0.14682946476658365,0.21543457573995597,0.06766506942848899,0.932334930571511
1266,0.14687035271184612,0.2154447326955702,0.06785656257412181,0.9321434374258781
589,0.1468909577315073,0.21544985395392796,0.06795306338885848,0.9320469366111416
2808,0.14706747915350135,0.21549380351781394,0.06877977752556108,0.9312202224744389
1247,0.14710927428120846,0.21550422946580705,0.06897551933712398,0.931024480662876
999,0.14717836877166635,0.2155214821050651,0.06929911401126902,0.9307008859887311
174,0.1475422846628636,0.21561269517197484,0.07100346472646803,0.928996535273532
2223,0.14758182190531888,0.21562263978066828,0.07118863203871142,0.9288113679612886
1749,0.14782149968850253,0.21568307091965297,0.07231113042657372,0.9276888695734262
253,0.14797197855731276,0.21572114006050402,0.07301587779782824,0.9269841222021717
1480,0.14806321200453304,0.2157442690145422,0.07344315727306194,0.9265568427269381
0,0.14840269654763236,0.21583065189216885,0.07503308708329011,0.9249669129167098
2455,0.14851494707752863,0.21585932486628295,0.07555879721449864,0.9244412027855013
186,0.14857394227018034,0.21587441643895783,0.07583509319722817,0.9241649068027719
2164,0.14858585239169156,0.21587746500816812,0.07589087263584789,0.9241091273641521
821,0.14859017948846334,0.21587857274460862,0.07591113800665503,0.924088861993345
2114,0.14862847786253186,0.2158883806789097,0.07609050324684809,0.9239094967531519
456,0.14895955213379972,0.21597343245951428,0.07764104468971535,0.9223589553102847
1265,0.14899798259220817,0.21598333598645122,0.07782102852899866,0.9221789714710014
179,0.14923238266134772,0.21604387984684373,0.07891880945899966,0.9210811905410003
