,Return,Volatility,VYM,VTI,VUG,VGIT,FB,AAPL,MSFT,GOOGL
2941,0.17788667533477076,0.18522549970169636,0.2786748976202776,0.19645269735333332,0.20739918100898788,0.1731281564116826,0.08060684703367714,0.046138475513201896,0.01028820378940826,0.007311541269431439
1728,0.19291443988402476,0.18522663785382779,0.2550837382923371,0.11969020116725523,0.18878303181902426,0.18835457394085744,0.061637240148377445,0.03488188299488717,0.10287504226801102,0.04869428936925046
1679,0.20048513816917238,0.18525098861931805,0.2108383664229038,0.038779309696441076,0.21781771198011693,0.21532346559806384,0.058653714919950854,0.004848517308953766,0.206803350156887,0.046935563916682584
1312,0.1744920055953915,0.18528865545597697,0.011192706345456238,0.22596639475906352,0.05874607269282968,0.2961704480357078,0.2246823742907631,0.024407674636666647,0.14232783969011478,0.0165064895493982
1861,0.2072447387860924,0.18530467205066603,0.1203098576826196,0.05588496831151219,0.13423821917354611,0.24713420972601868,0.07445716799502645,0.04637212045679676,0.059440172291054805,0.2621632843634254
2149,0.18595979859209158,0.1853291571950817,0.33647987405383123,0.09179738420190274,0.041806037325683734,0.18387452331729198,0.08220183381586171,0.030217300016243367,0.03275900576958608,0.20086404149959905
628,0.18374593179669738,0.18534335903586643,0.22217642516902023,0.06168401483648535,0.030180861189578648,0.24564182059064812,0.1839582174620238,0.04302930323587099,0.1409316195352677,0.07239773798110519
1542,0.20903502908526772,0.18538906893363852,0.0066656774125888,0.17257835587997256,0.25846648382057746,0.2594312128022283,0.09068446190045445,0.09360142863597178,0.10573192333934639,0.012840456208860311
2312,0.16754930573681096,0.18542365197055716,0.2436907233546242,0.2995413429209396,0.11324576612318966,0.17402536649539901,0.10902891436394259,0.013919023485121917,0.003036796715146503,0.04351206654163636
308,0.21832121090150458,0.18552688256648633,0.18269375901763688,0.09849866303681595,0.10680166976261933,0.2205026715007364,0.04476461897337138,0.1272954195490935,0.03890980690247338,0.18053339125725318
1647,0.21804615572079245,0.1855343179841832,0.03811207028654375,0.052180388997424415,0.15569092364699488,0.2988969836742605,0.13551613706473145,0.1638578443106353,0.10617513166792042,0.04957052035148944
1125,0.22584195068288632,0.18563542968093985,0.0358041283038338,0.09559648177468942,0.24959010125035122,0.24926766190058056,0.012015534461512468,0.09460243376377774,0.05250744393297354,0.21061621461228133
872,0.21865191760879937,0.1857631387689488,0.13867143407361443,0.013315478839473899,0.1744675821418486,0.23950303378946564,0.017266307981780724,0.048520166894902225,0.08104701515427543,0.287208981124639
1050,0.18199325712883646,0.18581065415251036,0.12420022637702526,0.19256187538799036,0.17772344842164137,0.2153389651237263,0.12034580481266761,0.010555992347408493,0.011072936894433352,0.1482007506351072
2117,0.22506860504551504,0.18585782913041418,0.14078868844807677,0.09916377005303402,0.08902182282625687,0.2680700303232074,0.10406806042116991,0.25554524059514894,0.031958150393212814,0.011384236939893258
1235,0.2181497888732805,0.18597741425490896,0.06514632573433886,0.23229344014591527,0.188137673961812,0.2246082879725175,0.012860709989936882,0.07608830381836788,0.16038348156575027,0.0404817768113613
965,0.17241455169070566,0.18609077458832493,0.3309742336339333,0.11585723236934649,0.061171417096085576,0.19125476265680677,0.157920050036148,0.053309082785740924,0.013250119832342025,0.07626310158959682
