,Return,Volatility,VGSH,AAPL,VOO,AMZN
1804,0.16179106395174866,0.17272418207522683,0.2933111119825589,0.1998037040323231,0.27797772129573545,0.2289074626893825
1187,0.1365470578827626,0.17276425241800497,0.2422263346974348,0.020357044193859915,0.43410570889053907,0.3033109122181662
1614,0.15570022565813438,0.17279180504548944,0.3011271849497943,0.14663920714704134,0.2468421746962051,0.3053914332069594
744,0.18022827626343021,0.17290151840510884,0.36088063700709044,0.38030249972061303,0.16943151482603824,0.0893853484462582
2631,0.16347056778181915,0.17294503074568035,0.31450418226223503,0.20566358784608665,0.2112734014935018,0.2685588283981766
1704,0.1612437412619824,0.17296368826640054,0.28636044430666047,0.19643938096471997,0.29736584219120676,0.21983433253741264
1161,0.1761753022388147,0.17297661245279178,0.3359991529357681,0.3509669744664701,0.236746498687688,0.07628737391007366
1031,0.14099893423596938,0.17298475009488962,0.27409286826003704,0.04395399004150711,0.3338229776573562,0.3481301640410997
542,0.14069264067610635,0.1730230496292206,0.2723638889961748,0.04184993393031438,0.3387098871056829,0.3470762899678279
1481,0.16118931702361805,0.17311449007176197,0.2810307502723619,0.19825998236703052,0.3149405678891075,0.2057686994715002
1009,0.17873016493860588,0.17313189057253953,0.34991495133124034,0.36006769210443285,0.1829798314693928,0.10703752509493386
132,0.17048868247722854,0.17313319449212217,0.30889373175587,0.2823287259229677,0.26446423782662226,0.14431330449454005
2988,0.13427608795778315,0.17314182921871077,0.2192742538545853,0.011829265982278203,0.5085244729779848,0.2603720071851518
12,0.1554100563357886,0.1731957332269585,0.3727295452405561,0.14905710326439883,0.06952727104095023,0.4086860804540948
2677,0.16672149670616315,0.1732079013212386,0.29636370748168533,0.24495861546487485,0.2825131638053869,0.17616451324805288
2201,0.17075071689800622,0.17321493204613872,0.30599586608147616,0.30481832579409346,0.30664851631756623,0.08253729180686424
2193,0.15814049028072846,0.1732201235537705,0.25657582559827785,0.2218357579211895,0.45773050607920246,0.06385791040133013
2867,0.17249546140133226,0.17322301802654938,0.35183448022449004,0.27668968793505316,0.117785997287449,0.25368983455300786
2968,0.16298730824951985,0.1732382540014262,0.2727497524215176,0.24390545690189572,0.3903145332602628,0.09303025741632381
1582,0.1691767690156294,0.17324207696504604,0.33330279961178816,0.2496208537123728,0.1629786617978722,0.25409768487796686
940,0.16169487254932827,0.17326020827520952,0.2897512944423622,0.196102782044505,0.282165128717948,0.23198079479518474
