,Return,Volatility,VGSH,VO,VOO,AMZN
1755,0.12169374256377205,0.17887069475156875,0.17493899147718045,0.37870001871710357,0.2398160090481574,0.2065449807575587
2868,0.13384531968245977,0.17887528590761362,0.23450377353472576,0.1544113840136883,0.23989882771435492,0.371186014737231
2745,0.1358431086170385,0.17890480004702072,0.28128919992716017,0.07632152489536262,0.20157492030525928,0.4408143548722179
1809,0.12814430308537533,0.17890571487488488,0.23830819241461665,0.35184028417534147,0.02948771395377424,0.3803638094562677
1836,0.13168029709984963,0.17894474788127251,0.28043530017580914,0.23074503735814877,0.04305095548410703,0.44576870698193505
1905,0.11420185720877091,0.17894684463720525,0.18094284682687192,0.5832347257193092,0.037098655558897575,0.19872377189492132
911,0.12289730919479779,0.17895196250608733,0.17179719153135173,0.33260965095366435,0.29642011639016475,0.19917304112481918
2575,0.1224476119048673,0.17896630658294208,0.17096063675533188,0.3388921276333693,0.29568663884331203,0.19446059676798683
2231,0.10979858889673413,0.17898709398306636,0.16454834900016593,0.45251548872429154,0.31854590078851047,0.06439026148703211
1968,0.12248494547797639,0.17903290260358065,0.1743076281826887,0.36226072826686806,0.25403797898895325,0.20939366456149008
2270,0.10634297272571971,0.17907856622968374,0.16636707117707164,0.44414963033330546,0.370374747342347,0.019108551147275974
2022,0.13086144492731475,0.17915248498756528,0.2518029705178948,0.27150988691115663,0.0710321402322497,0.4056550023386989
1003,0.1159402343412608,0.1791960397274448,0.1542937568826818,0.20273804371677331,0.612734939693956,0.03023325970658899
584,0.13683029575062838,0.1792160538197872,0.22074559125460697,0.04393312129313242,0.3903840576250843,0.3449372298271763
288,0.13064372231349894,0.1792477915783652,0.20686280443001345,0.2419234089482239,0.23124350621180595,0.3199702804099565
372,0.12720824819366408,0.17925573185128332,0.18815831892822313,0.3022782914434539,0.24029255727430773,0.2692708323540152
2695,0.13297876811955672,0.17926313518444065,0.370832506069444,0.06384626303865085,0.024562431448104088,0.540758799443801
259,0.1299296322609396,0.179268266056717,0.21689082730200565,0.28206296420248633,0.15874885793087615,0.3422973505646318
687,0.11991580748373538,0.1792912726918214,0.1606988165536329,0.32264437540754776,0.3777208409167414,0.13893596712207792
18,0.1291150105646999,0.17936112977863544,0.18416172220911084,0.23371736313556724,0.32122982697424673,0.2608910876810753
2949,0.13211878474123329,0.1793614681639275,0.16065333021014228,0.0034882359284884893,0.6632698569913436,0.17258857687002557
1894,0.13565697032798169,0.17936259765189388,0.20612148194049176,0.07097482375473371,0.4058319776666524,0.3170717166381223
2806,0.10758091389764002,0.17936971080270198,0.16327437924034294,0.40547516774533776,0.4160891619573196,0.015161291056999645
1788,0.12922027754183607,0.17938918392334732,0.1931745148019395,0.2605519972710165,0.2592239922463708,0.2870494956806732
399,0.1194431244015553,0.17947668578308143,0.16153239213753612,0.3525365737170273,0.3401236974589166,0.14580733668652002
428,0.13106928373358473,0.17949302921602553,0.2148105815734217,0.24780126580174805,0.19698332313268138,0.3404048294921489
747,0.13158325086625677,0.179501753157762,0.24474098793393226,0.2537223591458667,0.10466227756616898,0.396874375354032
1044,0.12270486779310924,0.1795174853446777,0.18777220627421562,0.4378788344672297,0.11116762265056516,0.26318133660798937
92,0.12905253696669733,0.17958527362284105,0.23443467571326282,0.3363860582664473,0.04920388967240556,0.3799753763478843
2617,0.13257483685238425,0.17966711706517877,0.2262903329720052,0.21404084056133393,0.19469744334791314,0.3649713831187476
1765,0.13290987575794064,0.17969744627958276,0.26335171756335923,0.21113634211646687,0.09853573384868716,0.42697620647148676
749,0.12867859547833513,0.17970754500590397,0.23914777521435313,0.3543086322814476,0.01694123655822483,0.3896023559459746
1701,0.10887274821702854,0.1797547866180696,0.16054589030509514,0.4116021410684964,0.39783922363972424,0.030012744986684194
2007,0.13382264865791657,0.17981415533248743,0.21724910116178214,0.16585470369509472,0.2688993948483426,0.3479968002947806
1740,0.11618133276742097,0.1798325576444854,0.15388047172323568,0.3025676787733244,0.47180071724011863,0.07175113226332129
2497,0.1313508923827721,0.1799687285159603,0.20395647594777824,0.23479736120242412,0.23948536428229933,0.3217607985674983
795,0.12855116228392513,0.17999370025099423,0.19169930272005983,0.29719470123201563,0.22075945317644693,0.2903465428714776
818,0.1196149774113278,0.18000238063587423,0.16679416482421486,0.42381232202995645,0.2251327587388198,0.18426075440700881
2502,0.12074510639566292,0.18000468587093102,0.15326527367670056,0.26070669433762167,0.4723316663514639,0.11369636563421369
424,0.12973183453677412,0.18006010515207627,0.19112144024095987,0.26090512328666327,0.25739640868402813,0.29057702778834876
2305,0.11205357538362398,0.18016474646840647,0.15648986611224708,0.3981636946844642,0.3856980576438133,0.059648381559475334
2195,0.13118795586474555,0.1801687816763819,0.18724137950092884,0.2068660411180166,0.3236859479268822,0.2822066314541724
202,0.12909768343084382,0.18027407875526996,0.19486067538935206,0.29736192699092756,0.20525045536623215,0.30252694225348814
260,0.13642724120916622,0.18031862197511705,0.26078033290482383,0.09797961029787794,0.216898541591737,0.42434151520556124
2188,0.1265572439718827,0.18033423840254578,0.2115077563591182,0.41019397843108896,0.03824420008160327,0.3400540651281897
1887,0.11765981000861174,0.18040181609094263,0.15440765833516587,0.35500544278033264,0.37828411193896255,0.11230278694553894
1011,0.1285810871358434,0.18042103238909996,0.15553299263426,0.13232991531019883,0.5432447972576998,0.16889229479784154
